club_short,player_type,name,notes_young,notes_unavail,notes_notam,notes_can
CLB,U22 INITIATIVE PLAYERS,Marino Hinestroza,FALSE,FALSE,FALSE,FALSE
CLB,U22 INITIATIVE PLAYERS,Alexandru Matan,FALSE,FALSE,FALSE,FALSE
CLB,UNAVAILABLE PLAYERS,Keegan Hughes,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Liel Abada,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Scott Arfield,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Enzo Copetti,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Brecht Dejaegere,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Hamady Diop,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,João Pedro,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Nikola Petkovic,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Karol Swiderski,FALSE,TRUE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,luri Tavares,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Jere Uronen,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Júnior Urso,FALSE,FALSE,FALSE,FALSE
CLT,INTERNATIONAL SLOT,Ashley Westwood,FALSE,FALSE,FALSE,FALSE
CLT,DESIGNATED PLAYERS,Liel Abada  ,TRUE,FALSE,TRUE,FALSE
CLT,DESIGNATED PLAYERS,Enzo Copetti ,FALSE,FALSE,TRUE,FALSE
CLT,DESIGNATED PLAYERS,Brecht Dejaegere,FALSE,FALSE,FALSE,FALSE
CLT,DESIGNATED PLAYERS,Karol Swiderski ,FALSE,TRUE,TRUE,FALSE
CLT,U22 INITIATIVE PLAYERS,Nikola Petkovic,FALSE,FALSE,FALSE,FALSE
CLT,U22 INITIATIVE PLAYERS,Kerwin Vargas,FALSE,FALSE,FALSE,FALSE
CLT,UNAVAILABLE PLAYERS,Chituru Odunze,FALSE,FALSE,FALSE,FALSE
CLT,UNAVAILABLE PLAYERS,Karol Swiderski,FALSE,FALSE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Kévin Cabral,FALSE,FALSE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Remi Cabral,FALSE,TRUE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Daniel Chacón,FALSE,TRUE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Lamine Diack,FALSE,FALSE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Marko Ilić,FALSE,TRUE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Andreas Maxsø,FALSE,FALSE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Rafael Navarro,FALSE,FALSE,FALSE,FALSE
COL,INTERNATIONAL SLOT,Connor Ronan,FALSE,FALSE,FALSE,FALSE
COL,DESIGNATED PLAYERS,Kévin Cabral,FALSE,FALSE,TRUE,FALSE
COL,DESIGNATED PLAYERS,Djordje Mihailovic,FALSE,FALSE,TRUE,FALSE
COL,DESIGNATED PLAYERS,Rafael Navarro,FALSE,FALSE,FALSE,FALSE
COL,U22 INITIATIVE PLAYERS,Cole Bassett,FALSE,FALSE,FALSE,FALSE
COL,UNAVAILABLE PLAYERS,Remi Cabral,FALSE,FALSE,FALSE,FALSE
COL,UNAVAILABLE PLAYERS,Daniel Chacón,FALSE,FALSE,FALSE,FALSE
COL,UNAVAILABLE PLAYERS,Marko Ilić,FALSE,FALSE,FALSE,FALSE
COL,UNAVAILABLE PLAYERS,Aboubacar Keita,FALSE,FALSE,FALSE,FALSE
COL,UNAVAILABLE PLAYERS,Miguel Navarro,FALSE,FALSE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,Eugene Ansah,FALSE,FALSE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,Geovane de Jesus,FALSE,FALSE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,Patrickson Delgado,FALSE,FALSE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,Asier Illarramendi,FALSE,FALSE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,José Mulato,FALSE,TRUE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,Petar Musa,FALSE,FALSE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,Carl Sainté,FALSE,FALSE,FALSE,FALSE
DAL,INTERNATIONAL SLOT,Enes Sali,FALSE,FALSE,FALSE,FALSE
DAL,DESIGNATED PLAYERS,Jesús Ferreira,FALSE,FALSE,TRUE,FALSE
DAL,DESIGNATED PLAYERS,Petar Musa,FALSE,FALSE,TRUE,FALSE
DAL,DESIGNATED PLAYERS,Alan Velasco ,TRUE,FALSE,TRUE,FALSE
DAL,U22 INITIATIVE PLAYERS,Geovane de Jesus,FALSE,FALSE,FALSE,FALSE
DAL,U22 INITIATIVE PLAYERS,José Mulato,FALSE,TRUE,FALSE,FALSE
DAL,U22 INITIATIVE PLAYERS,Enes Sali,FALSE,FALSE,FALSE,FALSE
DAL,UNAVAILABLE PLAYERS,Antonio Carrera,FALSE,FALSE,FALSE,FALSE
DAL,UNAVAILABLE PLAYERS,José Mulato,FALSE,FALSE,FALSE,FALSE
DAL,UNAVAILABLE PLAYERS,Isaiah Parker,FALSE,FALSE,FALSE,FALSE
DAL,SEASON-ENDING INJURY LIST,Paxton Pomykal,FALSE,FALSE,FALSE,FALSE
DC,INTERNATIONAL SLOT,Christian Benteke,FALSE,FALSE,FALSE,FALSE
DC,INTERNATIONAL SLOT,Cristian Dájome,FALSE,FALSE,FALSE,FALSE
DC,INTERNATIONAL SLOT,Mohanad Jeahze,FALSE,FALSE,FALSE,FALSE
DC,INTERNATIONAL SLOT,Mateusz Klich,FALSE,FALSE,FALSE,FALSE
DC,INTERNATIONAL SLOT,Matti Peltola,FALSE,FALSE,FALSE,FALSE
DC,INTERNATIONAL SLOT,Gabriel Pirani,FALSE,FALSE,FALSE,FALSE
DC,INTERNATIONAL SLOT,Martín Rodríguez,FALSE,FALSE,FALSE,FALSE
DC,DESIGNATED PLAYERS,Christian Benteke,FALSE,FALSE,TRUE,FALSE
DC,DESIGNATED PLAYERS,Mateusz Klich,FALSE,FALSE,TRUE,FALSE
DC,DESIGNATED PLAYERS,Matti Peltola ,TRUE,FALSE,FALSE,FALSE
DC,U22 INITIATIVE PLAYERS,Gabriel Pirani,FALSE,FALSE,FALSE,FALSE
DC,UNAVAILABLE PLAYERS,Jeremy Garay,FALSE,FALSE,FALSE,FALSE
DC,UNAVAILABLE PLAYERS,Hayden Sargis,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Ibrahim Aliyu,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Stephen Annor Gyamfi,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Latif Blessing,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Sebastian Kowalczyk,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Micael,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Nelson Quiñones,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Erik Sviatchenko,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Ousmane Sylla,FALSE,FALSE,FALSE,FALSE
HOU,INTERNATIONAL SLOT,Jefferson Valverde,FALSE,TRUE,FALSE,FALSE
HOU,DESIGNATED PLAYERS,Sebastián Ferreira,FALSE,FALSE,TRUE,FALSE
HOU,DESIGNATED PLAYERS,Héctor Herrera,FALSE,FALSE,TRUE,FALSE
HOU,DESIGNATED PLAYERS,Erik Sviatchenko,FALSE,FALSE,FALSE,FALSE
HOU,U22 INITIATIVE PLAYERS,Ibrahim Aliyu,FALSE,FALSE,FALSE,FALSE
HOU,U22 INITIATIVE PLAYERS,Nelson Quiñones,FALSE,TRUE,FALSE,FALSE
HOU,SEASON-ENDING INJURY LIST,Nelson Quiñones,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Julián Aude,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Aaron Bibout,FALSE,TRUE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Gastón Brugman,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Martín Cáceres,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Emiro Garces,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Dejan Joveljic,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Novak Micovic,FALSE,FALSE,FALSE,FALSE
