File Name,,SLOTS (8),Validation Link
cin.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=0&page=0
cin.pdf,1,Marco Angulo*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=1&page=0
cin.pdf,2,Aaron Boupendza,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=2&page=0
cin.pdf,3,Pavel Bucha,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=3&page=0
cin.pdf,4,Kevin Kelsy,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=4&page=0
cin.pdf,5,Obinna Nwobodo,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=5&page=0
cin.pdf,6,Luca Orellano,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=6&page=0
cin.pdf,7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=7&page=0
cin.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=8&page=0
cin.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=9&page=0
cin.pdf,1,Luciano Acosta^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=10&page=0
cin.pdf,2,Aaron Boupendza^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=11&page=0
cin.pdf,3,Obinna Nwobodo^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=12&page=0
cin.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=13&page=0
